No,Label,kalimat
47,registrasi,minta info kak untuk daftar ulang maksimal laku kapan
48,registrasi,sampai kapan ya kak batas daftar ulang
49,registrasi,batas daftar ulang dapat laku sampai kapan
50,registrasi,daftar ulang sampai tanggal berapa ya dapat laku
51,registrasi,bayar daftar ulang dapat laku sampai kapan min
52,registrasi,jadwal registrasi dapat di cek pada laman http pmb nus ac id
53,registrasi,untuk registrasi sendiri dapat unjung http pmb nus ac id untuk lebih jelas
54,registrasi,untuk lebih jelas silah unjung http pmb nus ac id
55,registrasi,informasi kena registrasi sudah kami saji pada laman http pmb nus ac id silah kunjung laman sebut terima kasih
56,registrasi,info registrasi dapat akses di http pmb nus ac id terima kasih
57,registrasi,batas maksimal registrasi sudah kami jelas di http pmb nus ac id
58,registrasi,silah unjung http pmb nus ac id untuk lebih jelas
59,registrasi,skck apakah harus lampir saat daftar ulang
60,registrasi,apakah skck perlu lampir saat daftar ulang
61,registrasi,untuk syarat daftar ulang apakah perlu skck kak
62,registrasi,min daftar ulang perlu pakai skck tidak ya
63,registrasi,untuk daftar ulang skck apakah perlu
64,registrasi,mohon info min untuk skck saat daftar ulang perlu tidak ya
65,registrasi,apakah ada syarat daftar ulang untuk lampir skck
66,registrasi,skck tidak perlu saat daftar ulang terima kasih
67,registrasi,untuk skck tidak perlu saat daftar ulang
68,registrasi,tidak perlu lampir skck kak terima kasih
69,registrasi,daftar ulang tidak perlu skck kak terima kasih
70,registrasi,daftar ulang dapat laku tanpa skck kak
71,registrasi,skck tidak jadi syarat daftar ulang jadi tidak perlu
72,registrasi,skck tidak perlu lampir kak saat daftar ulang
73,registrasi,min saya mau cetak umum guna nomor telepon saya dan orang tua kok tidak bisa
74,registrasi,bagaimana ya min cetak umum daftar saya sudah guna nomortelepon saya dan orang tua tidak bisa
75,registrasi,bisa bantu min untuk cetak umum saya sudah ikut tunjuk di form tetap tidak bisa
76,registrasi,umum daftar saya tidak mau cetak kenapa ya min
77,registrasi,saya sudah ikut langkah di form cetak umum tapi kok tidak bisa
78,registrasi,min kok saya gagal cetak umum padahal sudah benar sesuai form
79,registrasi,form umum kok tidak bisa cetak umum saya ya min
80,registrasi,silah coba guna browser pada pc terima kasih konfirmasi saja nomor orang tua kamu 920
81,registrasi,apakah guna browser hp untuk lihat silah guna browser pc saja
82,registrasi,silah ulang lihat umum lalu browser pc
83,registrasi,untuk umum baik lihat pakai browser pc
84,registrasi,silah guna browser pc untuk lihat umum
85,registrasi,umum bisa lihat ulang lalu browser pc terima kasih
86,registrasi,silah lihat kembali umum lalu browser pc
87,registrasi,biaya registrasi daftar ulang pmdk bisa lihat mana kak
88,registrasi,info biaya registrasi daftar ulang pmdk mana kak
89,registrasi,mau tanya untuk registrasi daftar ulang pmdk berapa
90,registrasi,bisa info min biaya registrasi daftar ulang pmdk
91,registrasi,berapa ya biaya registrasi daftar ulang pmdk
92,registrasi,mohon bantu informasi min untuk biaya registrasi daftar ulang pmdk
93,registrasi,registrasi daftar ulang pmdk berapa ya biaya
94,registrasi,silah download surat umum di http apply nus ac id read umum
95,registrasi,untuk biaya registrasi daftar ulang pmdk bisa lihat pada http apply nus ac id read umum
96,registrasi,informasi biaya registrasi daftar ulang pmdk dapat di http apply nus ac id read umum
97,registrasi,mohon download http apply nus ac id read umum untuk rincian biaya
98,registrasi,rincian biaya bisa akses pada http apply nus ac id read umum terima kasih
99,registrasi,detail untuk registrasi daftar ulang pmdk dapat pada http apply nus ac id read umum
100,registrasi,silah akses http apply nus ac id read umum untuk detail
101,registrasi,kak untuk pindah jurus registrasi apakah bisa
102,registrasi,bisa tidak kak pindah jurus saat registrasi
103,registrasi,apakah mungkin untuk pindah jurus saat registrasi
104,registrasi,apakah masih boleh untuk pindah jurus saat registrasi
105,registrasi,mau tanya untuk pindah jurus saat registrasi bagaimana ya
106,registrasi,pindah jurus ketika registrasi apakah mungkin
107,registrasi,bisa bantu info kak untuk pindah jurus saat registrasi
108,registrasi,pindah jurus saat registrasi mungkin kak lama masih ada quota
109,registrasi,lama masih ada quota bisa kak
110,registrasi,bisa lama masih sedia kuota
111,registrasi,bisa kak untuk pindah jurus saat registrasi lama masih ada quota
112,registrasi,boleh kak untuk pindah jurus saat registrasi lama quota dari jurus yang ingin masih sedia
113,registrasi,pindah mungkin lama quota masih ada
114,registrasi,pindah saat registrasi dapat laku kak lama quota masih ada
115,registrasi,kak saya mau lihat biaya registrasi daftar ulang pmdk tahap 2 mana ya
116,registrasi,informasi biaya registrasi daftar ulang pmdk tahap 2 bisa lihat mana
117,registrasi,berapa biaya registrasi daftar ulang pmdk tahap 2
118,registrasi,informasi total biaya dapat lihat di umum yang dapat pada website udinus dengan input nomor hp
119,registrasi,dapat lihat di webstie udinus kak untuk detail umum
120,registrasi,biaya registrasi dapat lihat di website dengan input nomor hp terima kasih
121,pendaftaran,admin saya mau tanya untuk serah berkas daftar ulang hari sabtu bisa nggak ya
122,pendaftaran,selamat pagi hari sabtu udinus buka layan daftar dan registrasi sampai pukul 16 00 wib terima kasih
123,pendaftaran,kalo dari smk jurus tkj terus mau ambil fakultas akuntasi manajemen s1 bisa gak ya
124,pendaftaran,halo kak afifah untuk pilih jurus sesuai dengan minat saja tidak gantung oleh jurus saat smk
125,pendaftaran,halo min mau tanya kira kira masih bisa daftar di udinua lagi nggak min soal di webnya kok ngga ada terang tanggal cumn ada jalur 1c 2a gitu mohon info min terima kasih
126,pendaftaran,kamu tahu ga baca arti tiap gelombang selalu kami cantum tanggal daftar tanggal uji dan tanggal registrasi mohon cek kembali terima kasih
127,pendaftaran,untuk biaya daftar s2 dan jurusan2nya lihat di mana ya web info
128,pendaftaran,untuk informasi putar program pasca sarjana dapat cek lalu pps nus ac id terimakasih
129,pendaftaran,halo kak apakah ada tata tertib atau syarat yang harus laksana saat seleksi sepert alat yang harus bawa lalu pakai yang yg kena
130,pendaftaran,selamat siang test sama terima mahasiswa baru udinus nanti guna komputer sehingga alat yang bawa hanya kartu test dan bolpoint yang pakai untuk hitung untuk pakai yang kena adalah bebas dan sopan terima kasih
131,pendaftaran,selamat sore kk saya muhamad rizki daftar jalur reguler saya mau tanya itu kok pas mau cetak kok agama saya tulis lain yah padahal di form gada opsi agama dan kota prov nya juga kosong http prntscr com nbdzff mohon jelas
132,pendaftaran,halo rizki sistem kami sedang dalam baik mohon di cek ulang kembali untuk data nya terimakasih
133,pendaftaran,admin adik saya ada minat di jurus rekam medis tp dr ips bisa tidak ya lalu saya lulus fisip 2015 dulu kulnya di ptn lain bisa ga misal ambil rekam medis soal kerja pegang bagi rekam medis
134,pendaftaran,selamat pagi untuk ambil jurus rekam medis dapat dari semua jurus karena memang akan kami ajar dari dasar jika ingin ambil kuliah lagi di jurus rekam medis arti pada saat daftar yang serta adalah ijazah sma untuk rekam medis sendiri kami sedia kelas karyawan di hari jumat dan sabtu yang mulai di siang hari terima kasih
135,pendaftaran,kak kalo mah pindah jurus ke prodi yang ke 2 bisa
136,pendaftaran,belum registrasi ya untuk pindah jurus silah datang langsung ke udinus di gedung g lantai 1 di bagi daftar terimakasih
137,pendaftaran,min mau tanya klk buat daftar yg pmdk skrg udh gabisa ya
138,pendaftaran,selamat pagi untuk jalur pmdk 2019 sudah tidak bisa karena saat ini kami sudah buka jalur reguler akan tetapi kami akan buka jalur pmdk 2020 mulai bulan oktober 2019 jadi kuliah nya masuk di bulan september 2020 terima kasih
139,pendaftaran,kak mau tanya kalau saya punya sertifikat harga banyak masuk udinus lewat jalur apa dan apakah bisa dapat beasiswa
140,pendaftaran,selamat pagi udinus punya 2 jalur daftar yaitu jalur pmdk dan jalur reguler jalur pmdk rupa jalur prestasi mana sertifikat juara baik bidang akademik maupun non akademik dapat tunjang nilai maksimal sertifikat yang dapat diikutsertakan adalah 2 dari yang paling tinggi tingkat untuk jalur pmdk akan ada potong uang gedung hingga 100 namun jalur pmdk hanya dapat ikut siswa kelas 3 dan yang sudah lulus 1 tahun sbelumnya untuk saat ini jalur pmdk sudah akhir namun kami baru saja buka jalur reguler terima kasih
141,pendaftaran,daftar s2 info liht di mana ya
142,pendaftaran,selamat pagi informasi putar daftar program pasca sarjana udinus dapat lihat lalu alamat url ikut http pps nus ac id terima kasih
143,pendaftaran,halo kak mau tanya kan jalur reguler bisa ikut tes sama one day service nah kalo ikut one day service bisa daftar via online dulu atau langsung dateng ke tempat aja lalu untuk yang one day service bebas pilih hari apa aja kan ya kak terima kasih
144,pendaftaran,halo putri untuk sistem oneday service arti kamu datang langsung ke udinus untuk laku daftar nah di hari itu juga kamu bisa laku test dan langsung dapat surat umum terima atau tidak jika kamu sudah daftar kamu boleh laku test maksimal 3 hari telah laku daftar jika lebih dari itu maka kamu akan ikut test sama yang sudah jadwal pada gelombang daftar yang kamu ikut terima kasih
145,pendaftaran,kak kalau tiap login salah terus gimana ya padahal email sm password nya udah benar
146,pendaftaran,selamat pagi nissa segala kendala kait tentang daftar online dapat langsung hubung narahubung kami yudit arum 085740664541 terima kasih
147,pendaftaran,halo kak tes masuk jalur reguler kapan yah terima kasih
148,pendaftaran,selamat pagi daftar jalur reguler akan mulai tanggal 1 april untuk test nya dapat ikut test sama atau test pada saat hari daftar oneday service terima kasih
149,pendaftaran,malam ka saya mau tanya kan saya sudah isi form daftar tinggal bayar brp biaya yang harus saya bayar ka
150,pendaftaran,selamat pagi biaya daftar sudah cantum di halaman pada saat daftar biaya daftar untuk jalur pmdk adalah rp 100 000 transfer ke no rekening yang sudah tera bukti transfer di scan lalu di upload di halaman daftar terima kasih
151,pendaftaran,untuk info pendafttran s2 mana ya linknya
152,pendaftaran,selamat pagi untuk informasi daftar pascasarjana dapat lalu link ikut http pps nus ac id terima kasih
153,pendaftaran,kak mau tanya saya belum aktivasi akun trus re-aktivasi kok gagal itu gimana
154,pendaftaran,selamat pagi abdul aktivasi akun daftar online ya aktif akun hanya beri waktu 124 jam jika lebih dari 124 jam maka akun sebut hangus harap daftar kembali terima kasih
155,pendaftaran,kak mau tanya untuk tes masuk jalur regular nanti materi dari ajar apa aja ya mohon responnya terimakasih
156,pendaftaran,selamat pagi putri untuk materi yang akan uji di test masuk jalur reguler adalah logika aritmatika dan bahasa inggris terima kasih
157,pendaftaran,malam saya mau tanya ka untuk test yang jalur reguler apakah ada untuk test online nya terimakasih
158,pendaftaran,selamat pagi untuk saat ini kami belum ada test online terima mahasiswa baru terimakasih
159,pendaftaran,untuk soal2 yang uji pasa saat tes masuk apa aja ya min
160,pendaftaran,halo kak saya mau tanya daftar jalur reguler buka kapan ya dan informasi tentang pmb jalur reguler kira rilis kapan ya di website ini terimakasih
161,pendaftaran,selamat pagi putri daftar jalur reguler akan kami buka mulai bulan april untuk informasi kena syarat daftar jalur reguler akan kami posting cepat terima kasih
162,pendaftaran,untuk tes masuk sendiri mata ajar atau materi apa yang nanti diujiankan ya kak biar bisa siap dari sekarang soal terima kasih
163,pendaftaran,halo kak saya rizki lulus sma tahun 2017 apakah saya masih bisa daftar di udinus untuk angkat 2019 terima kasih
164,pendaftaran,halo rizki untuk lulus 2017 dapat daftar lalu jalur reguler yang akan kami buka mulai bulan april nanti terima kasih
165,pendaftaran,selamat pagi ka saya mau tanya saya lulus 2018 dan dari dulu saya ingin kuliah di udinus demi telah baik ekonomi saya asal dari keluarga kurang mampu sedang biaya kuliah di udinus sangat mahal tahun 2018 saya terima di unbraw snmptn bidikmisi namun saya keluar dan ingin putus kuliah di udinus yang saya mau tanya adalah apakah saya bisa ikut program beasiswa bagi maba bidikmisi kembali atau ada kah program beasiswa maba selain bidikmisi dan saat registrasi ulang ada potong 100 uspi bagi keluarga kurang mampu seperti saya
166,pendaftaran,selamat pagi haryadi tentu daftar bidikmisi 2019 bagi lulus tahun 2018 adalah siswa yang bukan terima bidikmisi sehingga kamu tidak boleh ikut daftar bidikmisi kembali karena sudah pernah dapat program bidikmisi di tahun belum untuk potong uspi 100 tidak untuk di jalur pmdk selain gelombang 1 untuk itu sudah tidak ada potong 100 untuk daftar di tahap ini terima kasih
167,pendaftaran,kak mau tanya web buat daftar lagi error atau gmna ya aku kan mau upload scanan rapot kok gak bisa situs ini tidak dapat jangkau itu gimana ya kak makasih
168,pendaftaran,selamat sore mohon coba kembali untuk upload scan rapor nya mungkin ada sedikit salah jaring terima kasih
169,pendaftaran,selamat sore saya mau tanya untuk daftar jalur pmdk apabila salah satu mapel ada yg nilai bawah 8 bukan rata apakah masih bisa
170,pendaftaran,selamat pagi syarat daftar jalur pmdk adalah nilai rata dari semua mapel sehingga jika ada salah satu mapel yang nilai bawah 8 tidak akan jadi masalah asal rata seluruh tetap 8 jika rata seluruh bawah 8 silah serta surat rekomendasi dari guru bk terima kasih
171,pendaftaran,apabila nilai rapot ada yang angka 79 7 hanya di semester 1 apakah tidak ada peluang untuk daftar di pmdk namun ada sertifikat dukung non akademik tingkat nasional dan internasional apakah pengaruh min
172,pendaftaran,untuk nilai rapor bawah 8 silah minta surat rekomendasi dari guru bk dan serta pada saat kumpul formulir daftar terima kasih
173,pendaftaran,permisi admin saya mau tanya apakah jalur pmdk bisa guna sertifikat non akademik seperti bidang seni tingkat nasional dan internasional atau untuk untuk nilai akademik saja terimakasih
174,pendaftaran,selamat pagi armando sertifikat juara boleh dari bidang akademik maupun non akademik dari tingkat kota sampai tingkat internasional
175,pendaftaran,ada link buat download brosur pmb 2019 gak ya
176,pendaftaran,silah untuk brosur pmdk dapat didownload lalu ini https goo gl 6bc3en dan https goo gl hzzc2v terima kasih
177,pendaftaran,mau tanya info s3 ilmu komputer di unidus apakah ada info web nya
178,pendaftaran,kak untuk daftar mahasiswa baru jalur umum mulai kapan yah kak
179,pendaftaran,selamat pagi iqbal daftar jalur umum atau reguler akan buka mulai 1 april 2019
180,pendaftaran,kak mulai buka daftar mahasiswa baru untuk kelas sore kapan ya
181,pendaftaran,untuk terima jalur pmdk pada saat registrasi sudah bisa pilih kelas pagi atau sore namun kelas sore hanya ada di fakultas ilmu komputer fakultas ilmu budaya dan fakultas sehat yang program studi jenjang s1 terima kasih
182,pendaftaran,mau tanya min untuk serah berkas daftar ulang bisa hari sabtu
183,pendaftaran,daftar dan registrasi untuk hari sabtu buka sampai pukul 16 00 wib terima kasih
184,pendaftaran,apakah lulus smk jurus teknik kendara ringan tahun 2016 bisa daftar jurus manajemen s1 terima kasih
185,pendaftaran,selamat siang untuk lulus tahun 2016 dapat daftar jurus manajemen s-1 di jalur reguler yang akan buka daftar mulai bulan april terima kasih
186,pendaftaran,apakah kalau dari smk jurus teknik kendara bisa daftar s1 manajemen
187,pendaftaran,siang min saya dari smk jurus teknik kendara ingin daftar s1 manajemen bisa ga min
188,pendaftaran,boleh ga min saya daftar s1 manajemen saya dari smk
189,pendaftaran,bisa silah ikut daftar jurus s1 manajemen reguler yang selenggara bulan april terimakasih
190,pendaftaran,daftar jurus s1 manajemen untuk reguler bisa ikut pada bulan april
191,pendaftaran,boleh kak kakak bisa ikut daftar bulan april untuk jurus s1 manajemen jalur reguler
192,pendaftaran,saya dari smk tkj boleh ambil sistem informasi s1 tidak ya
193,pendaftaran,untuk jurus tidak gantung lulus dari smk kak jadi bisa kakak ambil jurus sebut terima kasih
194,pendaftaran,mau tanya untuk daftar di udinus apakah masih buka kok terang 1c atau 2a gitu
195,pendaftaran,untuk tiap gelombang selalu kami cantum tanggal daftar tanggal uji dan tanggal registrasi
196,pendaftaran,biaya daftar s2 bisa lihat mana ya
197,pendaftaran,informasi kena program pasca bisa lihat pada pps nus ac id
198,pendaftaran,apakah ada tata tertib alat dan pakai yang guna saat seleksi
199,pendaftaran,silah bawa kartu tes dan bolpoint untuk proses hitung saat tes karena tes guna komputer untuk pakain bebas tapi sopan terima kasih
200,pendaftaran,siang min saya mau cetak form daftar untuk agama tulis lain dan provinsi tulis kosong itu gimana ya
201,pendaftaran,mohon maaf kak sistem kami sedang baik silah cetak kembali kartu daftar terima kasih
202,pendaftaran,untuk lulus ips apakah bisa ambil jurus rekam medis
203,pendaftaran,jurus rekam medis bisa dari semua jurus karena kami akan ajar dari dasar terima kasih
204,pendaftaran,kak apakah bisa pindah jurus ke pilih ke 2
205,pendaftaran,untuk pindah jurus bisa langsung datang di gedung g lantai 1
206,pendaftaran,daftar pmdk apakah masih buka
207,pendaftaran,untuk pmdk 2019 sudah tidak buka kami akan buka kembali pada oktober 2019 untuk pmdk 2020
208,pendaftaran,kak saya milik sertifikat juara banyak bisa ikut jalur apa dana apakah ada beasiswa
209,pendaftaran,dapat dua jalur daftar pmdk dan reguler untuk pmdk sertifikat bisa ikut maksimal 2 dari kompetisi dengan tingkat tinggi terima kasih
210,pendaftaran,info daftar untuk s2 mana ya
211,pendaftaran,informasi daftar bisa akses pada pps nus ac id
212,pendaftaran,mau tanya untuk one day servis kita harus daftar dulu di web lalu untuk hari apakah bebas kapan untuk tes
213,pendaftaran,jika kamu sudah daftar pada hari itu maka kamu bisa langsung ikut tes dan dapat hasil tes tes masih bisa ikut maksimal sampai 3 hari ke depan
214,pendaftaran,kak saya mau login sistem selalu muncul salah padahal email dan password sudah benar itu bagaimana ya
215,pendaftaran,kendala kena daftar bisa langsung hubung narahubung kami yudit arum 085740664541 terima kasih
216,pendaftaran,jalur reguler tes masuk kapan ya
217,pendaftaran,daftar jalur reguler mulai 1 april untuk tes bisa ikut tes sama atau one day service
218,pendaftaran,kak saya sudah isi form daftar berapa biaya
219,pendaftaran,biaya daftar sudah tera saat daftar untuk pmdk biaya 100 000 bisa transfer ke nomor rekening yang tera lalu bukti bayar di upload pada halaman daftar
220,pendaftaran,bisa info kak link daftar s2
221,pendaftaran,daftar pascasarjana dapat laku lalu link pps nus ac id
222,pendaftaran,saya tidak bisa re-aktivasi akun itu gimana ya
223,pendaftaran,aktivasi akun hanya beri waktu 124 jam jika lebih dari itu maka hangus silah daftar kembali
224,pendaftaran,tes jalur reguler nanti materi tentang apa ya kak
225,pendaftaran,materi tes jalur reguler adalah logika aritmatika dan bahasa inggris
226,pendaftaran,untuk tes jalur reguler apakah bisa online
227,pendaftaran,terima mahasiswa baru saat ini belum ada tes online terima kasih
228,pendaftaran,soal untuk tes masuk tentang apa min materi
229,pendaftaran,daftar jalur reguler buka kapan ya
230,pendaftaran,kami buka daftar jalur reguler bulan april
231,pendaftaran,tes masuk nanti materi yang uji tentang apa ya kak
232,pendaftaran,kak saya lulus sma 2017 apakah masih bisa daftar untuk angkat 2019
233,pendaftaran,bisa kak silah daftar jalur reguler
234,pendaftaran,ada program beasiswa bidikmisi atau jenis di udinus
235,pendaftaran,untuk program bidikmisi udinus tidak untuk bagi yang sudah pernah dapat program bidikmisi udinus juga sedia potong uang gedung 100 untuk daftar gelombang pertama
236,pendaftaran,apakah web daftar sedang error saya tidak dapat upload dokumen
237,pendaftaran,sore kak bisa coba kembali upload dokumen mungkin sedang ada ganggu jaring terima kasih
238,pendaftaran,daftar pmdk apakah bisa salah satu mapel ada yang nilai bawah 8
239,pendaftaran,jika rata seluruh 8 maka masih bisa akan tetapi jika bawah 8 silah serta surat rekomendasi dari guru bk
240,pendaftaran,untuk daftar pmdk ada nilai yang 79 7 apakah masih bisa daftar
241,kuliah,kak mau tanya kalau untuk kkl mahasiswa akuntansi s1 udinus biasa semester berapa ya kak terimakasih
242,kuliah,selamat pagi ichza kkl di fakultas ekonomi dan bisnis baik itu jurus akuntansi maupun jurus manajemen biasa ada di semester ke 6 gantung bijak dari program studi masing-masing terima kasih
243,kuliah,siang kak saya mau tanya apa ada kelas karyawan di udinus terimakasih
244,kuliah,halo kak untuk kelas karyawan jumat-sabtu saat ini hanya ada di fakultas sehat saja
245,kuliah,halo min maaf kalo oot bingung mau nanya mana kalo mau nanya tentang jadwal konsultasi mana ya soal ada jadwal yang bentrok
246,kuliah,halo jadwal apa ya jadwal krs maksdnya kalo krs silah hubung tu fakultas masing-masing terima kasih
247,kuliah,ijin tanya kak saya kan sudah semester 2 di jurus ti dan rencana mau pindah jurus di manajemen yang saya tanya apakah pindah jurus bisa di urus sekarang takut kalau nunggu semester 3 habis kelas dan soal pembayaranya bagaimana terimakasih mohon info
248,kuliah,halo ilham pindah jurus gantung dari kaprodi masing-masing tiap jurus silah konsultasi ke dosen wali untuk lebih jelas terima kasih
249,kuliah,saya mau tanya ada kelas khusus karyawan atau tidak sama teknik informatika mata ajar seperti apa
250,kuliah,selamat siang untuk kelas khusus karyawan hanya ada di fakultas sehat kuliah laksana hari jumat dan sabtu di teknik informatika cara umum yang akan ajar adalah coding untuk buat program untuk mata kuliah dapat cek lalu https nus ac id majors a11 bachelor-of-informatics terima kasih
251,kuliah,kak saya mau tanya jurus sistem informasi itu ada kkn nya gak ya
252,kuliah,selamat pagi jurus sistem informasi di udinus tidak ada giat kkn bagi mahasiswa namun kami ada kp kuliah praktek dan kkl kuliah kerja lapang terima kasih
253,kuliah,selamat pagi bagaimana prosedur urus status mahasiswa yang mangkir terima kasih
254,kuliah,selamat pagi untuk urus status mahasiswa yang mangkir silah datang ke biro akademik di gedung a lantai 1 terima kasih
255,kuliah,hallo saya mau nanya apakah udinus buka kelas sabtu minggu terimaksih
256,kuliah,selamat siang mohon maaf udinus tidak buka kelas sabtu dan minggu kami punya kelas karyawan di hari jumat dan sabtu akan tetapi khusus untuk fakultas sehat terima kasih
257,kuliah,rekam medis informasi bisa masuk kelas karyawan ka
258,kuliah,selamat pagi khusnul untuk semua program studi di fakultas sehat ada kelas karyawan di hari jumat dan sabtu daftar dapat laku di jalur reguler terima kasih
259,kuliah,malam kak aku dari prodi ti mau tanya nih matkul kuliah aku ada 5 nih kalo salah satu matkul sebut aku mau keluar bisa tidak ya karena salah satu dari matkul sebut aku gak mampu
260,kuliah,selamat pagi jodie masalah seperti ini baik anda konsultasi dengan dosen ampu lebih dahulu barangkali beliau milik solusi yg lain atau anda juga bisa konsultasi pada dosen wali anda
261,kuliah,assalamualaikum kak mau tanya untuk jurus bahasa jepang ada kelas pegawai gak
262,kuliah,waalaikumsalam yascha untuk kelas pegawai tidak ada ada kelas malam kelas pagi
263,kuliah,selamat siang mau tanya untuk minta surat terang kuliah mana ya kak terimakasih
264,kuliah,selamat pagi sri arofah surat terang sebut bisa anda dapat di biro akademik gedung a lantai 1
265,kuliah,malam kak aku mau update foto uji yang baru kok ga bisa ganti ya padahal tulis nya file sukses di unggah
266,kuliah,halo kak disha jika kamu hasil upload foto namun foto belum ganti sila ke tu untuk verifikasi foto yang baru
267,kuliah,maaf kak jika ktm sementara hilang cara urus gimana ya
268,kuliah,halo kak putri untuk urus ktm sementara yg hilang sila ke biro akademik
269,kuliah,siang kak mau tanya kalo absen lebih dari 3x kan suruh mbuat surat mohon contoh surat mohon nya itu gimana ya kak
270,kuliah,kkl s1 akutansi semester berapa kak
271,kuliah,semester berapa ya kak untuk kkl s1 akuntansi
272,kuliah,bisa info pada semester berapa untuk kkl s1 akuntansi
273,kuliah,untuk kkl feb biasa ada pada semester 6 gantung bijak prodi terimakasih
274,kuliah,pagi icha kkl sendiri biasa pada semester 6 gantung dari bijak prodi
275,kuliah,pada semester 6 biasa ada kkl gantung prodi
276,kuliah,apakah ada kelas karyawan di udinus
277,kuliah,untuk kelas karyawan apakah ada
278,kuliah,bisa info min kelas karyawan di udinus
279,kuliah,kelas karyawan hanya ada di fakultas sehat jumat sabtu
280,kuliah,untuk kelas karyawan biasa ada pada hari jumat sabtu untuk fakultas sehat
281,kuliah,rizki bisa ikut kelas karyawan yang ada jumat sabtu pada fakultas sehat
