No,Label,kalimat
46,kuliah,selamat siang mau tanya untuk minta surat terang kuliah mana ya kak terimakasih
47,kuliah,selamat pagi sri arofah surat terang sebut bisa anda dapat di biro akademik gedung a lantai 1
48,kuliah,malam kak aku mau update foto uji yang baru kok ga bisa ganti ya padahal tulis nya file sukses di unggah
49,kuliah,halo kak disha jika kamu hasil upload foto namun foto belum ganti sila ke tu untuk verifikasi foto yang baru
50,kuliah,maaf kak jika ktm sementara hilang cara urus gimana ya
51,kuliah,halo kak putri untuk urus ktm sementara yg hilang sila ke biro akademik
52,kuliah,siang kak mau tanya kalo absen lebih dari 3x kan suruh mbuat surat mohon contoh surat mohon nya itu gimana ya kak
53,kuliah,selamat siang mohon maaf udinus tidak buka kelas sabtu dan minggu kami punya kelas karyawan di hari jumat dan sabtu akan tetapi khusus untuk fakultas sehat terima kasih
54,registrasi,pagi kak kak kmaren kan saya sudah daftar di udinus yang gelombang 1 udah ketrima di akuntansi tinggal registrasi saja kalo saya mau pindah fakultas it gimana kak
55,registrasi,sore kak ayu untuk pindah program studi boleh lama syarat penuh dan masih ada quota silah langsung ke bagi registrasi dengan bawa surat terang terima untuk dapat cek dan dapat jelas lebih lanjut prosedur
56,registrasi,min mau tanya kalau mau registrasi online calon mahasiswa baru tahun ini bagaimana
57,registrasi,halo mohon maaf saat ini yang dapat laku online hanya daftar saja untuk registrasi silah datang langsung ke udinus terimakasih
58,registrasi,saya telah di terima di udinus pada pmdk ke 2 tapi belum laku registrasi apakah masih bisa untuk registrasi
59,registrasi,selamat siang bisa silah datang ke udinus untuk cetak surat umum baru dan informasi putar registrasi terima kasih
60,registrasi,sore kak saya mau tanya nih batas bayar daftar ulang telah umum terima berapa lama ya trus untuk biaya daftar jalur uji tulis berapa
61,registrasi,selamat pagi untuk jadwal registrasi dapat cek lalu link ini http pmb nus ac id dan untuk biaya daftar jalur reguler adalah besar rp 200 000 - terima kasih
