No,Label,kalimat
28,pendaftaran,"Selamat pagi. Untuk pengambilan jurusan rekam medis dapat dari semua jurusan, karena memang akan kami ajarkan dari dasar. Jika ingin mengambil kuliah lagi di jurusan rekam medis, berarti pada saat pendaftaran yang disertakan adalah ijazah SMA. Untuk rekam medis sendiri kami menyediakan kelas Karyawan di Hari Jumat dan Sabtu yang dimulai di siang hari. Terima kasih."
29,pendaftaran,Kak kalo mah pindah jurusan ke prodi yang ke 2 bisa?
30,pendaftaran,Belum registrasi ya? Untuk pemindahan jurusan silahkan datang langsung ke Udinus di gedung G lantai 1 di bagian pendaftaran. Terimakasih.
31,pendaftaran,Min mau tanya klk buat daftar yg pmdk skrg udh gabisa ya ?
32,pendaftaran,"Selamat pagi. Untuk Jalur PMDK 2019 sudah tidak bisa, karena saat ini kami sudah membuka Jalur Reguler. Akan tetapi kami akan membuka Jalur PMDK 2020 mulai Bulan Oktober 2019, jadi perkuliahan nya masuk di Bulan September 2020. Terima kasih."
33,kuliah,ijin bertanya kak. saya kan sudah semester 2 di jurusan Ti dan rencana mau pindah jurusan di Manajemen. yang saya tanyakan apakah pindah jurusan bisa di urus sekarang ? takutnya kalau nunggu semester 3 kehabisan kelas dan soal pembayaranya bagaimana ?. terimakasih . mohon infonya
34,kuliah,Halo Ilham. Kepindahan jurusan tergantung dari Kaprodi masing-masing tiap jurusan. Silahkan konsultasikan ke dosen wali untuk lebih jelasnya. Terima kasih.
35,pendaftaran,"kak , mau tanya kalau saya punya sertifikat penghargaan banyak , masuk udinus lewat jalur apa , dan apakah bisa dapat beasiswa ?"
36,pendaftaran,"Selamat pagi. Udinus mempunyai 2 jalur pendaftaran, yaitu Jalur PMDK dan Jalur Reguler. Jalur PMDK merupakan jalur prestasi, dimana sertifikat kejuaraan baik bidang akademik maupun non akademik dapat menunjang penilaian. Maksimal sertifikat yang dapat diikutsertakan adalah 2 dari yang paling tinggi tingkatnya. Untuk Jalur PMDK akan ada potongan Uang Gedung hingga 100%. Namun jalur PMDK hanya dapat diikuti siswa kelas 3 dan yang sudah lulus 1 tahun sbelumnya. Untuk saat ini Jalur PMDK sudah berakhir, namun kami baru saja membuka Jalur Reguler. Terima kasih."
37,pendaftaran,pendaftaran s2 infonya liht di mana ya?
38,pendaftaran,Selamat pagi. Informasi seputar pendaftaran Program Pasca Sarjana Udinus dapat dilihat melalui alamat url berikut http://pps.dinus.ac.id Terima kasih.
39,administrasi,"Kak mau tanya,kalau sudah melewati batas pembayaran daftar ulang apakah masih bisa membayar kak?"
40,administrasi,Selamat pagi .. Nisrina lolos di PMDK 2 ya? Kami ingin memberitahukan bahwa registrasi untuk PMDK 2 masih dapat dilakukan sampai maksimal tanggal 8 April. Jadi dimohon segera untuk melakukan pembayaran dan pemberkasan ke Udinus ya. Terima kasih.
41,pendaftaran,"Halo, kak. Mau tanya, kan jalur reguler bisa ikut tes bersama & one day service, nah kalo ikut one day service bisa daftar via online dulu atau langsung dateng ke tempat aja? Lalu untuk yang one day service bebas pilih hari apa aja kan ya kak? Terima kasih."
42,pendaftaran,"Halo Putri. Untuk sistem oneday service berarti kamu datang langsung ke Udinus untuk melakukan pendaftaran. Nah di hari itu juga kamu bisa melakukan test dan langsung mendapatkan surat pengumuman diterima atau tidaknya. Jika kamu sudah mendaftar, kamu diperbolehkan melakukan test maksimal 3 hari setelah melakukan pendaftaran. Jika lebih dari itu, maka kamu akan diikutkan test bersama yang sudah terjadwal pada gelombang pendaftaran yang kamu ikuti. Terima kasih."
43,komentar,"Sukses terus untuk UDINUS, semoga selalu berprestasi dan bisa mencetak lulusan-lulusan terbaik yang siap bersaing di dunia kerja dan dalam hidup bermasyarakat."
44,komentar,"Terima kasih bapak, kami selalu berusaha memberikan yang terbaik bagi mahasiswa-mahasiswa kami"
45,registrasi,"Sore kak, saya mau tanya nih. Batas pembayaran daftar ulang setelah pengumuman penerimaan berapa lama ya? Trus, untuk biaya pendaftaran jalur ujian tulis berapa?"
46,registrasi,"Selamat pagi. Untuk jadwal registrasi dapat dicek melalui link ini http://pmb.dinus.ac.id dan untuk biaya pendaftaran jalur reguler adalah sebesar Rp 200.000,- Terima kasih."
47,administrasi,Mau tanya kak untuk jurusan S1 Manajemen uang per semester yg harus dibayarkan berapa ya untuk tahun ini?
48,administrasi,"Selamat pagi .. Untuk semua jurusan, pembayaran persemester nya sama. Untuk biaya kuliah dapat dicek di https://dinus.ac.id/fees terima kasih."
49,pendaftaran,kak kalau setiap login kesalahan terus gimana ya? padahal email sm password nya udah benar
50,pendaftaran,Selamat pagi Nissa. Segala kendala berkaitan tentang pendaftaran online dapat langsung menghubungi narahubung kami Yudit Arum 085740664541. Terima kasih
51,pendaftaran,"Halo kak, tes masuk jalur reguler kapan yah? Terima kasih"
52,pendaftaran,Selamat pagi. Pendaftaran Jalur Reguler akan dimulai tanggal 1 April. Untuk test nya dapat mengikuti test bersama atau test pada saat hari mendaftar (oneday service). Terima kasih.
53,pendaftaran,"Malam ka , saya mau tanya kan saya sudah mengisi form pendaftaran , tinggal bayar , brp biaya yang harus saya bayarkan ka?"
54,pendaftaran,Selamat pagi. biaya pendaftaran sudah tercantum di halaman pada saat mendaftar. Biaya pendaftaran untuk jalur PMDK adalah Rp.100.000 ditransfer ke no.rekening yang sudah tertera. Bukti transfer di scan lalu di upload di halaman pendaftaran. Terima kasih.
55,pendaftaran,Untuk info pendafttran s2 dimana ya linknya.
56,pendaftaran,Selamat pagi. Untuk informasi pendaftaran pascasarjana dapat melalui link berikut http://pps.dinus.ac.id terima kasih.
57,pendaftaran,"kak mau tanya, saya belum aktivasi akun, trus re-aktivasi kok gagal itu gimana?"
58,pendaftaran,"Selamat pagi Abdul. aktivasi akun pendaftaran online ya? Pengaktifan akun hanya diberi waktu 124 jam. Jika lebih dari 124 jam maka akun tersebut hangus, diharapkan mendaftar kembali. Terima kasih."
59,registrasi,Selamat siang Saya ingin bertanya apakah benar ketika daftar ulang harus melampirkan skck ?
60,registrasi,Selamat pagi. Pada saat daftar ulang tidak ada ketentuan persyaratan membawa SKCK. Untuk persyaratan registrasi ulang dapat dilihat di http://pmb.dinus.ac.id/prosedur-daftar-ulang/ Terima kasih
61,administrasi,Kak mau tanya kalau untuk kkl mahasiswa akuntansi s1 Udinus biasanya semester berapa ya kak?terimakasih
62,administrasi,"Selamat pagi Ichza. KKL di Fakultas Ekonomi dan Bisnis, baik itu jurusan akuntansi maupun jurusan manajemen biasanya diadakan di semester ke 6, tergantung kebijakan dari program studi masing-masing. Terima kasih."
63,pendaftaran,"Kak mau tanya, untuk tes masuk jalur regular nanti materinya dari pelajaran apa aja ya? Mohon responnya. Terimakasih!"
64,pendaftaran,Selamat pagi Putri. Untuk materi yang akan diujikan di test masuk jalur reguler adalah logika aritmatika dan bahasa inggris. Terima kasih.
65,kuliah,Saya mau tanya. ada kelas khusus karyawan atau tidak? sama teknik informatika mata pelajarannya seperti apa?
66,kuliah,Selamat siang .. Untuk kelas khusus karyawan hanya ada di Fakultas Kesehatan. Perkuliahan dilaksanakan hari Jumat dan Sabtu. Di Teknik Informatika secara umum yang akan dipelajari adalah coding untuk membuat program. Untuk mata kuliahnya dapat dicek melalui https://dinus.ac.id/majors/A11/Bachelor-of-Informatics Terima kasih
67,kuliah,"Apakah lulusan smk jurusan teknik kendaraan ringan tahun 2016, bisa mendaftar jurusan manajemen S1, terima kasih."
68,kuliah,Selamat siang. Untuk lulusan tahun 2016 dapat mendaftar jurusan Manajemen S-1 di Jalur Reguler yang akan dibuka pendaftarannya mulai Bulan April. Terima kasih.
69,registrasi,"permisi saya mau tanya, saya telah diterima di UDINUS lewat Sekolah saya BK maksudnya tapi saya juga udah cek di pengumumanya tapi kok saya mau cetak surat pengumuman itu pakai nomor pendaftaran dan nomor telepon tetapi udah saya coba nomor saya dan nomor orang tua saya yang saya lampirkan pada form pendaftaran tetapi gak bisa itu gimana ya mohon bantuanya."
70,registrasi,"Selamat pagi Basmoro. Apakah km melihat pengumumannya melalui hp? Kadang browser hp tidak compatible. Cobalah memakai PC untuk mendownload surat pengumuman. Untuk konfirmasi saja, nomor hp orang tua km *********920. Silahkan dicoba kembali."
71,registrasi,malam kak. saya mau tanya website buat lihat brpa biaya yg harus d bayarkn saat registrasi ulang jalur pmdk d mna ya kak?
72,registrasi,Silahkan untuk surat pengumuman dapat didownload melalui link berikut http://apply.dinus.ac.id/read/pengumuman Terima kasih.
73,registrasi,malam kak. bagaiman jika ingin tau berapa biaya yg harus di bayarkn untuk registrasi ulang pmdk 2 ya kak?
74,registrasi,Selamat pagi Tedi. Untuk biaya yang harus dibayarkan pada saat registrasi PMDK 2 dapat dilihat di surat pengumuman yang dapat kamu download di website udinus dengan menginputkan nomer pendaftaran dan nomer hp. Terima kasih.
75,pendaftaran,"Malam, saya mau tanya ka. Untuk test yang jalur reguler apakah ada untuk test online nya? Terimakasih"
76,pendaftaran,Selamat pagi. Untuk saat ini kami belum mengadakan test online penerimaan mahasiswa baru. Terimakasih
77,pendaftaran,Untuk soal2 yang diujikan pasa saat tes masuk apa aja ya min?
78,pendaftaran,"Halo kak. Saya mau tanya, pendaftaran jalur reguler dibukanya kapan ya? Dan informasi tentang pmb jalur reguler, kira-kira dirilis kapan ya di website ini? Terimakasih."
79,pendaftaran,Selamat pagi Putri. Pendaftaran Jalur Reguler akan kami buka mulai Bulan April. Untuk informasi mengenai persyaratan pendaftaran Jalur Reguler akan kami posting secepatnya. Terima kasih.
80,pendaftaran,"Untuk tes masuknya sendiri, mata pelajaran atau materi apa yang nanti diujiankan ya, kak? Biar bisa mempersiapkan dari sekarang soalnya. Terima kasih."
81,pendaftaran,"Halo kak saya rizki lulusan SMA tahun 2017, apakah saya masih bisa mendaftar di UDINUS untuk angkatan 2019? Terima kasih"
82,pendaftaran,Halo Rizki. Untuk lulusan 2017 dapat mendaftar melalui jalur Reguler yang akan kami buka mulai Bulan April nanti. Terima Kasih.
83,kuliah,"Kak saya mau tanya, jurusan Sistem Informasi itu ada KKN nya gak ya?"
84,kuliah,Selamat pagi. Jurusan Sistem Informasi di Udinus tidak mengadakan kegiatan KKN bagi mahasiswanya. Namun kami mengadakan KP (Kuliah Praktek) dan KKL (Kuliah Kerja Lapangan). Terima kasih.
85,kuliah,"Selamat pagi, bagaimana prosedur mengurus status mahasiswa yang mangkir ? Terima kasih."
86,kuliah,Selamat pagi. Untuk mengurus status mahasiswa yang mangkir silahkan datang ke Biro Akademik di Gedung A lantai 1. Terima kasih.
87,pendaftaran,"selamat pagi ka,saya mau tanya.saya lulusan 2018 dan dari dulu saya ingin kuliah di udinus demi setelahnya memperbaiki ekonomi,saya berasal dari keluarga kurang mampu sedangkan biaya kuliah di udinus sangatlah mahal,tahun 2018 saya diterima di UNBRAW SNMPTN BIDIKMISI,namun saya keluar dan ingin memutuskan kuliah di udinus.yang saya mau tanyakan adalah apakah saya bisa mengikuti program beasiswa bagi maba bidikmisi kembali atau ada kah program beasiswa maba selain bidikmisi dan saat registrasi ulang adakah potongan 100% uspi bagi keluarga kurang mampu seperti saya?"
88,pendaftaran,"Selamat pagi Haryadi. Ketentuan pendaftaran bidikmisi 2019 bagi lulusan tahun 2018 adalah siswa yang bukan penerima bidikmisi, sehingga kamu tidak diperbolehkan mengikuti pendaftaran bidikmisi kembali dikarenakan sudah pernah mendapatkan program bidikmisi di tahun sebelumnya. Untuk Potongan USPI 100% tidak diperuntukkan di Jalur PMDK selain gelombang 1. Untuk itu, sudah tidak ada potongan 100% untuk pendaftaran di tahap ini. Terima kasih."
89,pendaftaran,"Kak mau tanya,  web buat pendaftaran lagi error atau gmna ya? Aku kan mau upload scanan rapot kok gak bisa? Situs ini tidak dapat dijangkau itu gimana ya kak? makasih."
90,pendaftaran,Selamat sore .. Mohon dicoba kembali untuk upload scan rapor nya. Mungkin ada sedikit kesalahan jaringan. Terima kasih.
91,pendaftaran,"Selamat sore, saya mau tanya. Untuk pendaftaran jalur pmdk apabila salah satu mapel ada yg nilainya dibawah 8 (bukan rata-ratanya), apakah masih bisa?"
92,pendaftaran,"Selamat pagi.. Persyaratan pendaftaran Jalur PMDK adalah nilai rata-rata dari semua mapel, sehingga jika ada salah satu mapel yang nilainya dibawah 8 tidak akan jadi masalah asalkan rata-rata keseluruhan tetap 8. Jika rata-rata keseluruhan dibawah 8, silahkan menyertakan surat rekomendasi dari Guru BK. Terima kasih."
93,pendaftaran,"Apabila nilai rapot ada yang angka 79,7 (hanya di semester 1) apakah tidak ada peluang untuk mendaftar di PMDK? Namun ada sertifikat pendukung non akademik tingkat nasional dan internasional. Apakah berpengaruh min?"
94,pendaftaran,Untuk nilai rapor dibawah 8 silahkan meminta surat rekomendasi dari Guru BK dan disertakan pada saat mengumpulkan formulir pendaftaran. Terima kasih.
95,pendaftaran,Permisi admin saya mau tanya. Apakah jalur pmdk bisa menggunakan sertifikat non akademik seperti bidang seni tingkat nasional dan internasional. Ataukah diperuntukkan untuk nilai akademik saja? Terimakasih
96,pendaftaran,"Selamat pagi Armando. Sertifikat kejuaraan boleh dari bidang akademik maupun non akademik, dari tingkat kota sampai tingkat Internasional."
97,kuliah,"Hallo, saya mau nanya apakah udinus membuka kelas sabtu minggu ? Terimaksih"
98,kuliah,"Selamat siang. Mohon maaf, Udinus tidak membuka kelas sabtu dan minggu. Kami mempunyai kelas karyawan di Hari Jumat dan Sabtu akan tetapi khusus untuk Fakultas Kesehatan. Terima kasih."
99,kuliah,Rekam medis & informasi bisa masuk kelas karyawan ka?
100,kuliah,Selamat pagi Khusnul. Untuk semua program studi di Fakultas Kesehatan ada kelas karyawan di hari Jumat dan Sabtu. Pendaftaran dapat dilakukan di Jalur Reguler. Terima kasih.
101,pendaftaran,Ada link buat download brosur pmb 2019 gak ya.
102,pendaftaran,Silahkan untuk brosur PMDK dapat didownload melalui ini https://goo.gl/6bc3en dan https://goo.gl/HzZC2V Terima kasih.
103,kuliah,"Malam kak, aku dari prodi TI mau tanya nih matkul kuliah aku ada 5 nih kalo salah satu matkul tersebut aku mau keluar bisa tidak ya? Karena salah satu dari matkul tersebut aku gak mampu."
104,kuliah,"Selamat pagi, Jodie. Permasalahan seperti ini sebaiknya Anda konsultasikan dengan dosen pengampu terlebih dahulu, barangkali beliau memiliki solusi yg lain. Atau, Anda juga bisa konsultasi pada dosen wali Anda."
105,kuliah,"Assalamualaikum kak,mau tanya untuk jurusan bahasa Jepang ada kelas pegawai gak ?"
106,kuliah,waalaikumsalam yascha. untuk kelas pegawai tidak ada. adanya kelas malam/kelas pagi
107,pendaftaran,"Mau tanya info S3 Ilmu komputer di Unidus, apakah ada info web nya?"
108,kuliah,Selamat siang. Mau tanya untuk meminta surat keterangan kuliah dimana ya kak? Terimakasih.
109,kuliah,"Selamat pagi, Sri Arofah. Surat keterangan tersebut bisa Anda dapatkan di Biro Akademik, gedung A Lantai 1."
110,pendaftaran,Kak untuk pendaftaran mahasiswa baru jalur umum mulai kapan yah kak?
111,pendaftaran,"Selamat pagi, Iqbal. Pendaftaran jalur umum atau reguler akan dibuka mulai 1 April 2019."
112,pendaftaran,kak mulai pembukaan pendaftaran mahasiswa baru untuk kelas sore kapan ya ?
113,pendaftaran,"Untuk penerimaan jalur PMDK, pada saat registrasi sudah bisa memilih kelas pagi atau sore. Namun kelas sore hanya ada di Fakultas Ilmu Komputer, Fakultas Ilmu Budaya, dan Fakultas Kesehatan yang program studinya jenjang S1. Terima kasih."
114,kuliah,"Malam kak, aku mau update foto ujian yang baru kok ga bisa ganti ya? Padahal tulisan nya file sukses di unggah"
115,kuliah,"Halo kak Disha, jika kamu berhasil upload foto namun foto belum terganti silakan ke TU untuk verifikasi foto yang baru "
116,kuliah,"Maaf kak, jika ktm sementara hilang cara mengurusnya gimana ya?"
117,kuliah,"Halo kak Putri, untuk mengurus KTM sementara yg hilang silakan ke Biro Akademik"
118,kuliah,"siang kak mau tanya  kalo absen lebih dari 3x kan disuruh mbuat surat permohonan, contoh surat permohonan nya itu gimana ya kak?"
119,registrasi,"Pagi kak, kak kmaren kan saya sudah daftar di udinus yang gelombang 1 udah ketrima di akuntansi, tinggal registrasi saja, kalo saya mau pindah fakultas IT gimana kak??"
120,registrasi,"Sore kak Ayu, Untuk perpindahan program studi diperbolehkan selama syaratnya terpenuhi dan masih ada Quota. Silahkan langsung ke bagian registrasi dengan membawa surat keterangan diterima untuk dapat dicek dan mendapat penjelasan lebih lanjut prosedurnya."
